ID,TITULO,autores,pais,evento,ano,universidade,sub_area,tipo_abordagem,disponibilidade,link_acesso,base_dados,link_artigo,questao_001,,,questao_002,,,questao_003,,,questao_004,,,questao_005,,,anotacoes_adicionais
A00019,The Blackthorn Manor: A Case Study in Teaching Software Engineering for Computer Games Courses Using CodePlay Framework,Konstantino Ktonos,Reino Unido,The Computer Games Journal,2020,Researcher at Aristotle University of Thessaloniki,Processo de Desenvolvimento,Jogos sérios,-,-,SPRINGER,https://drive.google.com/drive/u/1/folders/1EYLwm6rTdQupa8uJvqyuRS82IpjedCs6,"O artigo aponta uma abordagem com foco no processo, conduzindo experimentos de aprendizado com o uso do framework codePlay que auxilia na transformação da sala de aula em um ambiente de jogos para aumentar o engajamento dos alunos.",,,"O estudo apresenta gamificação e feedback dos alunos.  Os elementos que podem contribuir para combinações de abordagens são a liberdade dos alunos, e feedback que pode ser feita pelos alunos.",,,"Os benefícios são aumento de frequência, melhora no desempenho dos alunos e aumento de portfólio para os alunos. Além de criação de pensamentos estratégios e lógicos, aumentando a satisfação dos participantes.",,,A inovação pode acontecer por meio da geração de requisitos de software por meio dinâmico utilizando ferramentas reais (para o versionamento) integrando habilidades.,,,Experimento Controlado.,,,"Abordagens como o estudo podem exigir um tempo maior de preparação, e escolyhas de como falhas de participação podem ser resolvidas."
A00025,Prototyping with Blockchain: A Case Study for Teaching Blockchain Application Development at University,"Michael Fr¨ohlich1,2,3 , Jose Vega1 Amelie Pahl1,2 , Sergej Lotz1,4 , Florian Alt3 , Albrecht Schmidt2 , and Isabell Welpe4",Alemanha,International Conference on Interactive Collaborative Learning,2022,"Ludwig Maximilian Universit¨at, Germany, University of the Bundeswehr Munich, Germany, Technical University of Munich, Germany",Processo de Desenvolvimento,Multidisciplinaridade,-,-,SPRINGER,https://drive.google.com/drive/u/1/folders/1EYLwm6rTdQupa8uJvqyuRS82IpjedCs6,"O estudo aborda a condução de abordagens interdisciplinares são necessárias para o ensino sobre aplicações (no caso, blockchain), porém, notam-se que muitas destas aplicações sofrem com problemas relacionados à usabilidade.",,,"Sim, no caso do estudo existe a combinação de adaptação de Design Sprint, e a construção de um hackathon estruturado. Os elementos que contribuem para a adesão, são a formação de equipes interdisciplinares, a a limitação do escopo que essas equipes estarão.",,,A academia proporciona benefícios na confiança da identificação de casos de uso corretos e auxilia a prototipação colaborativa.,,,"A academia pode inovar na integração de múltiplas disciplinas (de forma adaptada pro contexto), além de alinhar o ambiente acadêmico com o ambiente da indústria, com estratégias que focam no produto, integrar especialistas no desenvolvimento com alunos e aplicar conceitos de meotodologias ágeis.",,,Questionário,,,"Os autoresdestacam que, para a próxima geração de desenvolvedores construir produtos valiosos, eles precisam ser capazes de avaliar casos de uso sob três óticas simultâneas, viabilidade técnica, criação de valor e experiência do usuário"
A00028,Novice Learner Experiences in Software Development: A Study of Freshman Undergraduates,"Catherine Higgins, Ciaran O'Leary, Claire McAvinia, Barry J. Ryan",Irlanda,International Conference on Computer Supported Education,2020,Technological Universit Dublin,Processo de Desenvolvimento,Metodologia Tradicional,sim,https://arrow.tudublin.ie/scschcomcon/322/,SPRINGER,https://drive.google.com/drive/u/1/folders/1EYLwm6rTdQupa8uJvqyuRS82IpjedCs6,"A condução de ensino de desenvolvimento se alinha em três segmentos, escolhas de linguagens de programação adequadas, ferramentas de visualização e aprendizagem baseada em jogos. Porém, os autores pontuam que há poucos processos voltados para calouros iniciantes em programação, e que as abordagens existentes focam nas habilidades para sintaxe. Habilidades como boas práticas são deixadas de lado.",,,"A abordagem do estudo é foco no ensino, os elementos para a sua adesão são elementos que analisam a carga cognitiva por orientação.",,,"Aquisição de boas práticass de desenvolvimento, notar a falta de processos também revela um desinteresse e incertezas de seguir na carreira ainda na graduação.",,,"A academia por inovar trabalhando processos que ofereçam suporte para diminuir a alta demanda de carga congitiva, e focar nas habilidades para resolução de problemas desde o início.",,,Questionário e grupo focal.,,,"O estudo destaca que 73% dos alunos do segundo ano indicaram desejar aulas dedicadas a fornecer uma estratégia definida (processo) para resolver problemas, reforçando a necessidade da intervenção proposta pelos autores em trabalhos futuros."
A00030,Gamification of conceptual modeling education: an analysis of productivity and students’ perception,"Giacomo Garaccione, Riccardo Coppola, Luca Ardito, Marco Torchiano",Itália,Software Quality Journal,2025,Politecnico di Torino,Requisitos,Gamificação,sim,"https://github.com/ls1intum/Apollon,",SPRINGER,https://drive.google.com/drive/u/1/folders/1EYLwm6rTdQupa8uJvqyuRS82IpjedCs6,"O artigo aponta o uso crescente de gamificação para motivar os discentes e reduzir a carga cognitiva. Além de motivar o uso de ferramentas como o Papygame, BIPMIN, e o GAMEoVR.",,,"Sim, no caso do estudo, são utilizadas estratégias de gamificação. Os elementos que contribuem para a combinação dessas abordagens são a motivação para promover o aprendizado ativo, redução de carga cognitiva e mecanismos de feedback com gratificação.",,,"A academia pode adotar práticas de engajamento positivo, principalmente quando se é aplicada atividades que carregam uma alta complexidade, como no caso de modelagens. Pode também reforçar meios de comunicação e design para a formação de analistas e engenherios de requisitos.",,,"O estudo revela que a academia pode integrar métodos que não foquem apenas em conceitos teóricos, mas também dinâmicos que podem promover o uso de ferramentas em que o aluno pode realizar avaliações semânticas, e por meio de métodos de design obter feedback detalhados das atividades propostas.",,,Experimento controlado.,,,"Os autores observaram que uma imersão excessiva pode distrair do objetivo de aprendizado, em que o foco deve permanecer na ferramenta como um meio de ensino, não apenas entretenimento"
A00035,Improving students’ programming quality with the continuous inspection process: a social coding perspective,"Yao Lu, Xinjun Mao, Tao Wang, Gang Yin, Zude Li",China,Frontiers of Computer Science,2019,National University of Defense Technology; Central South University,Qualidade de Software,Uso de ferramentas,-,-,SPRINGER,https://drive.google.com/drive/u/1/folders/1EYLwm6rTdQupa8uJvqyuRS82IpjedCs6,"A abordagem utilizada no estudo é a Inspeção Contínua, neste estudo, é realizada a configuraçã de um ambiente no qual os alunos codificam, e têm seus scripts avaliados por ferramentas (SonarQube) cada vez que o repósitório é atualizado.",,,"Sim, a abordagem utilizada pode ser integrada à utilização da Integração Contínua. Os elementos que contibuem para esta possível adesão são, automação, integração ao fluxo de trabalho e permanecimento de técnicnas de aprendizagem contínua.",,,"A academia pode auxiliar na identificação de maus hábitos de desenvolvimento, reduzir problemas de qualidade e motivar práticas sustentáveis de codificação.",,,"A inovação ocorre por meio da adoção de práticas de desenvolvimento e inspeção conítnua, com estratégias utilizadas por desenvolvedores de soluções open source.",,,Experimento Controlado.,,,O estudo é apresentado como o primeiro caso de aplicação do paradigma de inspeção contínua em um ambiente de sala de aula para melhorar a qualidade de programação dos alunos.
A00045,Learning Agile Scrum Methodology Using the Groupware Tool Trello $$^{\textregistered }$$ Through Collaborative Working,"Nitin Naik, Paul Jenkins e David Newell",Reino Unido,"International Conference on Complex, Intelligent, and Software Intensive Systems",2020,Bournemouth University,Gerência de Projetos,ABPj,-,-,SPRINGER,https://drive.google.com/drive/u/1/folders/1EYLwm6rTdQupa8uJvqyuRS82IpjedCs6,"A pesquisa utiliza ABPj dentro de um contexto colaborativo.  Nesse contexto, é observado que no cenário internacional o ensino e treinamento em engenharia de software se molda para o contexto das metodologias ágeis.",,,Uso de ferramentas e metodologias de trabalho colaborativo.,,,"A academia pode promover uma abordagem prática e colaborativa utilizando meios  que possam permitir o esclarecimento e correção em tempo hábil,  focando no método de abordagens baseadas em projetos que auxilia no desenvolvimento de resolução de problemas e comunicação eficaz.",,,"A inovação pode ocorrer por meio da simulação de ambientes reais, e na utilização de ferrramentas que demonstrem atualizações em tempo real para stakeholders.",,,Apenas análise comparativa co valores de notas.,,,"O artigo enfatiza o modelo INVEST (Independent, Negotiable, Valuable, Estimable, Small, Testable) para a criação de boas User Stories dentro dos cartões do Trello. Além disso, o estudo propõe o uso de recursos específicos do Trello, como checklists, datas de entrega e anexos, para gerenciamento."
A00057,LLM Integration in&#xa0;Workbook Design for&#xa0;Teaching Coding Subjects,Magnus Westerlund & Andrey Shcherbakov,Finlândia,International Conference on Smart Technologies & Education,2024,Arcada University of Applied Sciences,Processo de Desenvolvimento,Uso de ferramentas,-,-,SPRINGER,https://drive.google.com/drive/u/1/folders/1EYLwm6rTdQupa8uJvqyuRS82IpjedCs6,"Aprendizagem Baseada em Problemas, Flipped Classrom e Uso de ferramentas na integração de LLMs. As abordagens utilizadas integram um meio para criar metodologias pedagógicas fora do escopo tradicional.",,,Uso de ferramentas. Os elementos que contribuem para a adesão são personalização do aprendizado e objetivos que podem ser adaptados.,,,A academia pode proporcionar uma formação analítica que fomenta o pensamento crítico pela utilização de LLMs.,,,"Para fortalecimento do sistema educacional, a academia pode inovar na utilização de estratégias de aprendizado que simula cenários reaispor mieo das LLMs.",,,Questionários,,,A proposta do estudo foca especificamente no ensino de conceitos elementares de Processamento de Linguagem Natural (NLP) para estudantes de pós-graduação
A00076,The Essence Theory of Software Engineering – Large-Scale Classroom Experiences from 450+ Software Engineering BSc Students,"Kai-Kristian Kemell, Anh Nguyen-Duc, Xiaofeng Wang, Juhani Risku, e Pekka Abrahamsson","Finlândia, Noruega e Itália.", International Conference on Product-Focused Software Process Improvement,2018,"University of Jyväskylä (Finlândia), University of Southeast Norway e Free University of Bozen-Bolzano",Análise / Projeto / Modelagem,ABPj,sim,https://figshare.com/articles/journal_contribution/100_Open_Sourced_Software_Robots_for_Tomorrow_s_Education_Revolutionizing_the_University_Learning_Experience_with_Bot_Technologies/5597983?file=9741115,SPRINGER,https://drive.google.com/drive/u/1/folders/1EYLwm6rTdQupa8uJvqyuRS82IpjedCs6,"O estudo utiliza a abordagem Essence para controlar processos, como ferramenta para acançar metas entre os participantes. Além de utilizar ScrumBut (modificação do scrum)",,,A abordagem Essence é apresentada como um framework que permite realizar a modelagem e combinação com qualquer método. Os elementos que colaboram para sua adesão são a utilização de cards de práticas.,,,"Os benefícios dessa abordagem são o ensino progressivo e gestão de projetos, além da capacitação dos alunos e motivação a construção de métodos próprios.",,,Fortalece na construção de frameworks nos quais o alunos pode simular ambientes reais de projetos.,,,Relatório.,,,"O estudo destaca que, embora o Essence seja útil, a falta de materiais introdutórios simples é uma barreira significativa para estudantes inexperientes. As equipes que superaram a barreira inicial relataram que a ferramenta ajudou a trabalhar de forma mais sistemática e profissional."
A00085,Integrating Code Reviews into&#xa0;Online Lessons to&#xa0;Support Software Engineering Education,"uan Carlos Farah, Basile Spaenlehauer, María Jesús Rodríguez-Triana, Sandy Ingram e Denis Gillet",Suiça e Estônia,International Conference on Interactive Collaborative Learning,2022,"École Polytechnique Fédérale de Lausanne (EPFL), Tallinn University e University of Applied Sciences (HES-SO)",Manutenção,Uso de ferramentas,sim,https://graasp.org/s/sm12t9,SPRINGER,https://drive.google.com/drive/u/1/folders/1EYLwm6rTdQupa8uJvqyuRS82IpjedCs6,O estudo aponta o uso de Code Reviews para auxiliar no processo de revsão de código por meio da colaboração.,,,"Sim, as abordagem utilizadas no estudo são revisão por pares focada em colaboração e treinamento individual utilizada na promoção do ensino do processo de revião e mehoria de código.",,,"Os benefícios são ganhos de aprendizado a curto prazo, e escabilidade com a utilização de ferramentas que auxiliam o treinamento com equipes grandes.",,,"A utiilização de code reviews notebooks utilizados para revisão de código, no qual foca na análise cítica e aumento de repertório em feramentas.",,,"Experimento, questionários e triamgulação de dados.",,,
A00111,A Computer-Supported Collaborative Learning Environment for&#xa0;Computer Science Education,"Michael Holly, Jannik Hildebrandt, Johanna Pirker",Austría e Alemanha,"10th International Conference on Immersive Learning, iLRN 2024",2024,Graz University of technology e Lwdwing-Maximilians-Universitat Munchen,Análise / Projeto / Modelagem,Ambientes virtuais.,-,-,SPRINGER,https://drive.google.com/drive/u/1/folders/1EYLwm6rTdQupa8uJvqyuRS82IpjedCs6,"O estudo aborda o uso em ascenção de aprendizagem digital e colaborativa, promovendo plataformas imersivas para o ensino  que engaja a cmounicação.",,,"As abordagens do estudo podem ser categorizadas em Aprendizagem Digital e Aprendizagem Colaborativa. Os elementos que contribuem, podem ser apontados como a interação social que é possível obter, a gamificação que aumenta o engajaamento e a interatividade.",,,"Pode proporcionar na melhoria de resultados de aprendizagem, felxibilidade na qual qualquer um pode aprender em qualquer lugar e o maior abrangimento de modelos virtuais para ensino de Es.",,,"Mundos virtuais e simulações que podem ser integradas na trajetória do aluno,  podendo ser de forma completa ou adaptada.",,,"Estudo AB com comparação de grupos e aplicação de questionários, além de métricas como escala Likert, SUS e CES.",,,"O estudo foi realizado durante a pandemia, o que ressalta a importância de ferramentas de colaboração remota. Os autores indicam o uso do SIMSE para gestão de projetos de software."
